order_id,order_item_id,product_id,product_category,sale_date_utc,order_status,amount_source_usd,source_currency_assumption,rate_date,usd_per_eur,rate_age_days,amount_eur,rate_source_url
1422,2028,11562,Intimates,2024-01-01,SHIPPED,10.88,"USD (POC assumption, unverified)",2023-12-29,1.10500000,3,9.85,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
1464,2086,26993,Sleep & Lounge,2024-01-11,COMPLETE,80.42,"USD (POC assumption, unverified)",2024-01-11,1.09870000,0,73.20,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
1471,2094,18750,Active,2024-01-12,COMPLETE,12.63,"USD (POC assumption, unverified)",2024-01-12,1.09420000,0,11.54,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
1471,2095,26187,Underwear,2024-01-11,COMPLETE,8.64,"USD (POC assumption, unverified)",2024-01-11,1.09870000,0,7.86,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
1471,2096,18527,Active,2024-01-09,COMPLETE,22.00,"USD (POC assumption, unverified)",2024-01-09,1.09400000,0,20.11,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
1546,2203,4139,Jumpsuits & Rompers,2024-01-06,SHIPPED,11.09,"USD (POC assumption, unverified)",2024-01-05,1.09210000,1,10.15,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
1546,2204,1268,Sweaters,2024-01-03,SHIPPED,41.75,"USD (POC assumption, unverified)",2024-01-03,1.09190000,0,38.24,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
1586,2259,8719,Outerwear & Coats,2024-01-24,COMPLETE,74.95,"USD (POC assumption, unverified)",2024-01-24,1.09050000,0,68.73,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
1586,2260,7648,Blazers & Jackets,2024-01-23,COMPLETE,26.69,"USD (POC assumption, unverified)",2024-01-23,1.08720000,0,24.55,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2125,3004,17569,Fashion Hoodies & Sweatshirts,2024-01-11,SHIPPED,15.60,"USD (POC assumption, unverified)",2024-01-11,1.09870000,0,14.20,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2155,3049,10833,Intimates,2024-01-03,SHIPPED,25.50,"USD (POC assumption, unverified)",2024-01-03,1.09190000,0,23.35,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2155,3050,9612,Sleep & Lounge,2024-01-05,SHIPPED,39.95,"USD (POC assumption, unverified)",2024-01-05,1.09210000,0,36.58,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2237,3171,25006,Socks,2024-01-29,SHIPPED,7.50,"USD (POC assumption, unverified)",2024-01-29,1.08230000,0,6.93,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2237,3172,23092,Shorts,2024-01-28,SHIPPED,40.00,"USD (POC assumption, unverified)",2024-01-26,1.08710000,2,36.80,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2237,3173,16733,Tops & Tees,2024-01-27,SHIPPED,16.60,"USD (POC assumption, unverified)",2024-01-26,1.08710000,1,15.27,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2237,3174,20177,Suits & Sport Coats,2024-01-27,SHIPPED,88.00,"USD (POC assumption, unverified)",2024-01-26,1.08710000,1,80.95,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2909,4143,24681,Socks,2024-01-25,COMPLETE,13.99,"USD (POC assumption, unverified)",2024-01-25,1.08930000,0,12.84,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2934,4186,6156,Leggings,2024-01-04,SHIPPED,6.73,"USD (POC assumption, unverified)",2024-01-04,1.09530000,0,6.14,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2934,4187,14248,Accessories,2024-01-01,SHIPPED,3.50,"USD (POC assumption, unverified)",2023-12-29,1.10500000,3,3.17,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2934,4188,12597,Intimates,2024-01-02,SHIPPED,7.95,"USD (POC assumption, unverified)",2024-01-02,1.09560000,0,7.26,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
2934,4189,1548,Fashion Hoodies & Sweatshirts,2024-01-02,SHIPPED,29.99,"USD (POC assumption, unverified)",2024-01-02,1.09560000,0,27.37,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
3019,4305,20407,Suits & Sport Coats,2024-01-04,SHIPPED,79.95,"USD (POC assumption, unverified)",2024-01-04,1.09530000,0,72.99,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
3037,4335,7399,Skirts,2024-01-10,COMPLETE,89.00,"USD (POC assumption, unverified)",2024-01-10,1.09460000,0,81.31,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
3044,4344,24488,Socks,2024-01-09,COMPLETE,14.70,"USD (POC assumption, unverified)",2024-01-09,1.09400000,0,13.44,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
3044,4345,16211,Tops & Tees,2024-01-09,COMPLETE,54.18,"USD (POC assumption, unverified)",2024-01-09,1.09400000,0,49.52,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
3044,4346,23140,Shorts,2024-01-10,COMPLETE,44.50,"USD (POC assumption, unverified)",2024-01-10,1.09460000,0,40.65,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
3336,4773,5100,Pants & Capris,2024-01-16,COMPLETE,44.99,"USD (POC assumption, unverified)",2024-01-16,1.08820000,0,41.34,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
3336,4774,8366,Outerwear & Coats,2024-01-20,COMPLETE,157.50,"USD (POC assumption, unverified)",2024-01-19,1.08870000,1,144.67,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
3385,4846,24692,Socks,2024-01-15,COMPLETE,10.00,"USD (POC assumption, unverified)",2024-01-15,1.09450000,0,9.14,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
3385,4847,18222,Active,2024-01-16,COMPLETE,12.00,"USD (POC assumption, unverified)",2024-01-16,1.08820000,0,11.03,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
3508,5031,3992,Dresses,2024-01-27,SHIPPED,108.00,"USD (POC assumption, unverified)",2024-01-26,1.08710000,1,99.35,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
3697,5314,25791,Underwear,2024-01-29,COMPLETE,25.00,"USD (POC assumption, unverified)",2024-01-29,1.08230000,0,23.10,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
4329,6241,5789,Leggings,2024-01-26,SHIPPED,27.78,"USD (POC assumption, unverified)",2024-01-26,1.08710000,0,25.55,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
4485,6474,15993,Tops & Tees,2024-01-31,SHIPPED,49.50,"USD (POC assumption, unverified)",2024-01-31,1.08370000,0,45.68,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
4884,7063,7795,Blazers & Jackets,2024-01-05,COMPLETE,261.00,"USD (POC assumption, unverified)",2024-01-05,1.09210000,0,238.99,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
5034,7279,8818,Outerwear & Coats,2024-01-31,COMPLETE,179.99,"USD (POC assumption, unverified)",2024-01-31,1.08370000,0,166.09,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
5034,7280,2728,Active,2024-01-30,COMPLETE,20.00,"USD (POC assumption, unverified)",2024-01-30,1.08460000,0,18.44,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
5052,7304,27749,Swim,2024-01-08,COMPLETE,49.50,"USD (POC assumption, unverified)",2024-01-08,1.09460000,0,45.22,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
5052,7305,20068,Suits & Sport Coats,2024-01-10,COMPLETE,219.50,"USD (POC assumption, unverified)",2024-01-10,1.09460000,0,200.53,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
5367,7776,8779,Outerwear & Coats,2024-01-15,SHIPPED,140.00,"USD (POC assumption, unverified)",2024-01-15,1.09450000,0,127.91,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
5563,8072,21509,Jeans,2024-01-11,COMPLETE,134.00,"USD (POC assumption, unverified)",2024-01-11,1.09870000,0,121.96,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
5563,8073,17777,Fashion Hoodies & Sweatshirts,2024-01-10,COMPLETE,56.87,"USD (POC assumption, unverified)",2024-01-10,1.09460000,0,51.96,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
6287,9101,21651,Jeans,2024-01-13,SHIPPED,68.95,"USD (POC assumption, unverified)",2024-01-12,1.09420000,1,63.01,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
6287,9102,20728,Jeans,2024-01-11,SHIPPED,37.99,"USD (POC assumption, unverified)",2024-01-11,1.09870000,0,34.58,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
6509,9417,6659,Shorts,2024-01-01,SHIPPED,39.99,"USD (POC assumption, unverified)",2023-12-29,1.10500000,3,36.19,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
6751,9783,2248,Fashion Hoodies & Sweatshirts,2024-01-05,COMPLETE,36.99,"USD (POC assumption, unverified)",2024-01-05,1.09210000,0,33.87,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
6906,9993,5087,Jeans,2024-01-28,SHIPPED,58.50,"USD (POC assumption, unverified)",2024-01-26,1.08710000,2,53.81,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
6906,9994,12916,Swim,2024-01-31,SHIPPED,19.90,"USD (POC assumption, unverified)",2024-01-31,1.08370000,0,18.36,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
6978,10096,8997,Socks & Hosiery,2024-01-08,SHIPPED,20.00,"USD (POC assumption, unverified)",2024-01-08,1.09460000,0,18.27,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
6978,10097,8073,Suits,2024-01-12,SHIPPED,59.11,"USD (POC assumption, unverified)",2024-01-12,1.09420000,0,54.02,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
6978,10098,6208,Leggings,2024-01-09,SHIPPED,17.90,"USD (POC assumption, unverified)",2024-01-09,1.09400000,0,16.36,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
6998,10125,25177,Socks,2024-01-11,COMPLETE,8.80,"USD (POC assumption, unverified)",2024-01-11,1.09870000,0,8.01,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
6998,10126,20046,Suits & Sport Coats,2024-01-12,COMPLETE,189.98,"USD (POC assumption, unverified)",2024-01-12,1.09420000,0,173.62,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
7141,10320,6300,Shorts,2024-01-19,COMPLETE,29.90,"USD (POC assumption, unverified)",2024-01-19,1.08870000,0,27.46,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
7237,10463,14310,Accessories,2024-01-23,COMPLETE,17.99,"USD (POC assumption, unverified)",2024-01-23,1.08720000,0,16.55,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
7261,10502,26482,Sleep & Lounge,2024-01-30,COMPLETE,89.95,"USD (POC assumption, unverified)",2024-01-30,1.08460000,0,82.93,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
7261,10504,25524,Underwear,2024-01-28,COMPLETE,41.99,"USD (POC assumption, unverified)",2024-01-26,1.08710000,2,38.63,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
7376,10660,26880,Sleep & Lounge,2024-01-21,COMPLETE,25.00,"USD (POC assumption, unverified)",2024-01-19,1.08870000,2,22.96,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
8242,11910,3491,Dresses,2024-01-19,COMPLETE,98.00,"USD (POC assumption, unverified)",2024-01-19,1.08870000,0,90.02,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
8283,11973,22342,Pants,2024-01-08,COMPLETE,138.00,"USD (POC assumption, unverified)",2024-01-08,1.09460000,0,126.07,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
8313,12014,12965,Swim,2024-01-07,COMPLETE,52.00,"USD (POC assumption, unverified)",2024-01-05,1.09210000,2,47.61,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
8313,12015,1492,Sweaters,2024-01-08,COMPLETE,60.99,"USD (POC assumption, unverified)",2024-01-08,1.09460000,0,55.72,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
8348,12070,360,Tops & Tees,2024-01-11,SHIPPED,11.00,"USD (POC assumption, unverified)",2024-01-11,1.09870000,0,10.01,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
8370,12098,25378,Underwear,2024-01-22,COMPLETE,32.00,"USD (POC assumption, unverified)",2024-01-22,1.08900000,0,29.38,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
8370,12099,17860,Fashion Hoodies & Sweatshirts,2024-01-19,COMPLETE,57.99,"USD (POC assumption, unverified)",2024-01-19,1.08870000,0,53.27,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
8370,12100,20638,Jeans,2024-01-22,COMPLETE,39.95,"USD (POC assumption, unverified)",2024-01-22,1.08900000,0,36.69,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
8571,12406,25782,Underwear,2024-01-26,COMPLETE,24.00,"USD (POC assumption, unverified)",2024-01-26,1.08710000,0,22.08,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
8802,12737,4603,Jeans,2024-01-25,COMPLETE,44.50,"USD (POC assumption, unverified)",2024-01-25,1.08930000,0,40.85,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
9196,13292,6870,Shorts,2024-01-12,SHIPPED,32.95,"USD (POC assumption, unverified)",2024-01-12,1.09420000,0,30.11,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
9269,13397,23388,Shorts,2024-01-04,SHIPPED,29.95,"USD (POC assumption, unverified)",2024-01-04,1.09530000,0,27.34,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
9331,13491,18992,Sweaters,2024-01-23,COMPLETE,27.60,"USD (POC assumption, unverified)",2024-01-23,1.08720000,0,25.39,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
9331,13492,22869,Shorts,2024-01-19,COMPLETE,28.00,"USD (POC assumption, unverified)",2024-01-19,1.08870000,0,25.72,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
9338,13499,10105,Sleep & Lounge,2024-01-16,SHIPPED,140.00,"USD (POC assumption, unverified)",2024-01-16,1.08820000,0,128.65,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
9338,13500,12403,Intimates,2024-01-17,SHIPPED,22.99,"USD (POC assumption, unverified)",2024-01-17,1.08770000,0,21.14,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
9413,13600,5420,Pants & Capris,2024-01-25,COMPLETE,49.00,"USD (POC assumption, unverified)",2024-01-25,1.08930000,0,44.98,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
9643,13923,13368,Swim,2024-01-17,COMPLETE,44.00,"USD (POC assumption, unverified)",2024-01-17,1.08770000,0,40.45,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
9710,14015,23448,Shorts,2024-01-21,SHIPPED,10.76,"USD (POC assumption, unverified)",2024-01-19,1.08870000,2,9.88,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
9822,14180,28029,Swim,2024-01-12,COMPLETE,37.50,"USD (POC assumption, unverified)",2024-01-12,1.09420000,0,34.27,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
10006,14436,19523,Sweaters,2024-01-09,COMPLETE,186.95,"USD (POC assumption, unverified)",2024-01-09,1.09400000,0,170.89,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
10020,14457,21834,Pants,2024-01-02,SHIPPED,44.99,"USD (POC assumption, unverified)",2024-01-02,1.09560000,0,41.06,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
10364,14967,9407,Socks & Hosiery,2024-01-24,COMPLETE,6.50,"USD (POC assumption, unverified)",2024-01-24,1.09050000,0,5.96,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
10797,15588,14481,Maternity,2024-01-30,SHIPPED,19.98,"USD (POC assumption, unverified)",2024-01-30,1.08460000,0,18.42,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
10843,15653,28249,Swim,2024-01-02,SHIPPED,24.99,"USD (POC assumption, unverified)",2024-01-02,1.09560000,0,22.81,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
10860,15675,14993,Maternity,2024-01-10,SHIPPED,30.20,"USD (POC assumption, unverified)",2024-01-10,1.09460000,0,27.59,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
10898,15724,9314,Socks & Hosiery,2024-01-09,SHIPPED,30.00,"USD (POC assumption, unverified)",2024-01-09,1.09400000,0,27.42,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
11118,16047,7430,Skirts,2024-01-01,COMPLETE,29.50,"USD (POC assumption, unverified)",2023-12-29,1.10500000,3,26.70,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
11198,16166,3121,Dresses,2024-01-02,COMPLETE,495.00,"USD (POC assumption, unverified)",2024-01-02,1.09560000,0,451.81,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
11198,16167,3987,Dresses,2024-01-06,COMPLETE,85.12,"USD (POC assumption, unverified)",2024-01-05,1.09210000,1,77.94,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
11452,16543,16436,Tops & Tees,2024-01-10,SHIPPED,28.16,"USD (POC assumption, unverified)",2024-01-10,1.09460000,0,25.73,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
11514,16632,13211,Swim,2024-01-14,SHIPPED,36.95,"USD (POC assumption, unverified)",2024-01-12,1.09420000,2,33.77,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
11531,16664,18617,Active,2024-01-29,SHIPPED,22.00,"USD (POC assumption, unverified)",2024-01-29,1.08230000,0,20.33,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
11980,17334,17541,Fashion Hoodies & Sweatshirts,2024-01-30,COMPLETE,33.17,"USD (POC assumption, unverified)",2024-01-30,1.08460000,0,30.58,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
11980,17335,18382,Active,2024-01-30,COMPLETE,59.99,"USD (POC assumption, unverified)",2024-01-30,1.08460000,0,55.31,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
11980,17336,27921,Swim,2024-01-31,COMPLETE,34.50,"USD (POC assumption, unverified)",2024-01-31,1.08370000,0,31.84,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
11986,17342,22020,Pants,2024-01-12,SHIPPED,25.00,"USD (POC assumption, unverified)",2024-01-12,1.09420000,0,22.85,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
12018,17395,20005,Suits & Sport Coats,2024-01-19,COMPLETE,179.00,"USD (POC assumption, unverified)",2024-01-19,1.08870000,0,164.42,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
12038,17428,723,Tops & Tees,2024-01-12,SHIPPED,59.99,"USD (POC assumption, unverified)",2024-01-12,1.09420000,0,54.83,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
12038,17429,3132,Dresses,2024-01-12,SHIPPED,99.99,"USD (POC assumption, unverified)",2024-01-12,1.09420000,0,91.38,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
12321,17844,1006,Sweaters,2024-01-29,SHIPPED,29.99,"USD (POC assumption, unverified)",2024-01-29,1.08230000,0,27.71,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
12340,17882,27979,Swim,2024-01-16,COMPLETE,87.95,"USD (POC assumption, unverified)",2024-01-16,1.08820000,0,80.82,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
12530,18162,19937,Suits & Sport Coats,2024-01-02,COMPLETE,89.99,"USD (POC assumption, unverified)",2024-01-02,1.09560000,0,82.14,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
12530,18163,24952,Socks,2024-01-01,COMPLETE,19.99,"USD (POC assumption, unverified)",2023-12-29,1.10500000,3,18.09,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
12811,18560,23057,Shorts,2024-01-26,COMPLETE,59.50,"USD (POC assumption, unverified)",2024-01-26,1.08710000,0,54.73,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
12851,18612,21680,Pants,2024-01-01,SHIPPED,55.00,"USD (POC assumption, unverified)",2023-12-29,1.10500000,3,49.77,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
12931,18739,13129,Swim,2024-01-29,SHIPPED,44.34,"USD (POC assumption, unverified)",2024-01-29,1.08230000,0,40.97,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
13034,18895,10126,Sleep & Lounge,2024-01-10,SHIPPED,11.99,"USD (POC assumption, unverified)",2024-01-10,1.09460000,0,10.95,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
13034,18896,7787,Blazers & Jackets,2024-01-11,SHIPPED,98.00,"USD (POC assumption, unverified)",2024-01-11,1.09870000,0,89.20,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
13260,19244,290,Tops & Tees,2024-01-11,SHIPPED,36.00,"USD (POC assumption, unverified)",2024-01-11,1.09870000,0,32.77,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
13420,19490,18233,Active,2024-01-23,COMPLETE,18.99,"USD (POC assumption, unverified)",2024-01-23,1.08720000,0,17.47,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
13543,19665,9565,Sleep & Lounge,2024-01-03,SHIPPED,47.00,"USD (POC assumption, unverified)",2024-01-03,1.09190000,0,43.04,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
13664,19840,8482,Outerwear & Coats,2024-01-02,COMPLETE,99.00,"USD (POC assumption, unverified)",2024-01-02,1.09560000,0,90.36,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
13838,20105,27862,Swim,2024-01-05,COMPLETE,45.00,"USD (POC assumption, unverified)",2024-01-05,1.09210000,0,41.21,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
13838,20106,22140,Pants,2024-01-06,COMPLETE,79.50,"USD (POC assumption, unverified)",2024-01-05,1.09210000,1,72.80,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
13838,20107,21523,Jeans,2024-01-06,COMPLETE,195.72,"USD (POC assumption, unverified)",2024-01-05,1.09210000,1,179.21,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
14121,20499,22865,Shorts,2024-01-21,SHIPPED,49.00,"USD (POC assumption, unverified)",2024-01-19,1.08870000,2,45.01,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
14143,20531,19012,Sweaters,2024-01-04,SHIPPED,64.00,"USD (POC assumption, unverified)",2024-01-04,1.09530000,0,58.43,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
14223,20633,7458,Skirts,2024-01-17,COMPLETE,49.99,"USD (POC assumption, unverified)",2024-01-17,1.08770000,0,45.96,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
14510,21028,2064,Fashion Hoodies & Sweatshirts,2024-01-27,SHIPPED,39.40,"USD (POC assumption, unverified)",2024-01-26,1.08710000,1,36.24,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
14513,21031,10150,Sleep & Lounge,2024-01-06,COMPLETE,30.00,"USD (POC assumption, unverified)",2024-01-05,1.09210000,1,27.47,https://data-api.ecb.europa.eu/service/data/EXR/D.USD.EUR.SP00.A
